mmwr_week,week,week_start,week_end,season,data_source,essence_category,respiratory_category,visit_type,demographic_category,demographic_group,percent,current_week_ending
201602,2,1/10/2016,1/16/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.13,1/11/2025
201603,3,1/17/2016,1/23/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.11,1/18/2025
201604,4,1/24/2016,1/30/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.12,1/25/2025
201605,5,1/31/2016,2/6/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.11,2/1/2025
201606,6,2/7/2016,2/13/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.12,2/8/2025
201607,7,2/14/2016,2/20/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.14,2/15/2025
201608,8,2/21/2016,2/27/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.13,2/22/2025
201609,9,2/28/2016,3/5/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.13,3/1/2025
201610,10,3/6/2016,3/12/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.12,3/8/2025
201611,11,3/13/2016,3/19/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.11,3/15/2025
201612,12,3/20/2016,3/26/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,3/22/2025
201613,13,3/27/2016,4/2/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,3/29/2025
201614,14,4/3/2016,4/9/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,4/5/2025
201615,15,4/10/2016,4/16/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,4/12/2025
201616,16,4/17/2016,4/23/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,4/19/2025
201617,17,4/24/2016,4/30/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,4/26/2025
201618,18,5/1/2016,5/7/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,5/3/2025
201619,19,5/8/2016,5/14/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,5/10/2025
201620,20,5/15/2016,5/21/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,5/17/2025
201621,21,5/22/2016,5/28/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,5/24/2025
201622,22,5/29/2016,6/4/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,5/31/2025
201623,23,6/5/2016,6/11/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,6/7/2025
201624,24,6/12/2016,6/18/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,6/14/2025
201625,25,6/19/2016,6/25/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,6/21/2025
201626,26,6/26/2016,7/2/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,6/28/2025
201627,27,7/3/2016,7/9/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,7/5/2025
201628,28,7/10/2016,7/16/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,7/12/2025
201629,29,7/17/2016,7/23/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,7/19/2025
201630,30,7/24/2016,7/30/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,7/26/2025
201631,31,7/31/2016,8/6/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,8/2/2025
201632,32,8/7/2016,8/13/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,8/9/2025
201633,33,8/14/2016,8/20/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.03,8/16/2025
201634,34,8/21/2016,8/27/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,8/23/2025
201635,35,8/28/2016,9/3/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.03,8/30/2025
201636,36,9/4/2016,9/10/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,9/6/2025
201637,37,9/11/2016,9/17/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,9/13/2025
201638,38,9/18/2016,9/24/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,9/20/2025
201639,39,9/25/2016,10/1/2016,2015-2016,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,9/27/2025
201640,40,10/2/2016,10/8/2016,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,10/5/2024
201641,41,10/9/2016,10/15/2016,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,10/12/2024
201642,42,10/16/2016,10/22/2016,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.06,10/19/2024
201643,43,10/23/2016,10/29/2016,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,10/26/2024
201644,44,10/30/2016,11/5/2016,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,11/2/2024
201645,45,11/6/2016,11/12/2016,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,11/9/2024
201646,46,11/13/2016,11/19/2016,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,11/16/2024
201647,47,11/20/2016,11/26/2016,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,11/23/2024
201648,48,11/27/2016,12/3/2016,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,11/30/2024
201649,49,12/4/2016,12/10/2016,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,12/7/2024
201650,50,12/11/2016,12/17/2016,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,12/14/2024
201651,51,12/18/2016,12/24/2016,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,12/21/2024
201652,52,12/25/2016,12/31/2016,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,12/28/2024
201701,1,1/1/2017,1/7/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.12,1/4/2025
201702,2,1/8/2017,1/14/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,1/11/2025
201703,3,1/15/2017,1/21/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,1/18/2025
201704,4,1/22/2017,1/28/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,1/25/2025
201705,5,1/29/2017,2/4/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,2/1/2025
201706,6,2/5/2017,2/11/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.11,2/8/2025
201707,7,2/12/2017,2/18/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.12,2/15/2025
201708,8,2/19/2017,2/25/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.13,2/22/2025
201709,9,2/26/2017,3/4/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.12,3/1/2025
201710,10,3/5/2017,3/11/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.11,3/8/2025
201711,11,3/12/2017,3/18/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,3/15/2025
201712,12,3/19/2017,3/25/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,3/22/2025
201713,13,3/26/2017,4/1/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,3/29/2025
201714,14,4/2/2017,4/8/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,4/5/2025
201715,15,4/9/2017,4/15/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,4/12/2025
201716,16,4/16/2017,4/22/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,4/19/2025
201717,17,4/23/2017,4/29/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,4/26/2025
201718,18,4/30/2017,5/6/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,5/3/2025
201719,19,5/7/2017,5/13/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,5/10/2025
201720,20,5/14/2017,5/20/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,5/17/2025
201721,21,5/21/2017,5/27/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,5/24/2025
201722,22,5/28/2017,6/3/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,5/31/2025
201723,23,6/4/2017,6/10/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,6/7/2025
201724,24,6/11/2017,6/17/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,6/14/2025
201725,25,6/18/2017,6/24/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,6/21/2025
201726,26,6/25/2017,7/1/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,6/28/2025
201727,27,7/2/2017,7/8/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,7/5/2025
201728,28,7/9/2017,7/15/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.03,7/12/2025
201729,29,7/16/2017,7/22/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.03,7/19/2025
201730,30,7/23/2017,7/29/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,7/26/2025
201731,31,7/30/2017,8/5/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,8/2/2025
201732,32,8/6/2017,8/12/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,8/9/2025
201733,33,8/13/2017,8/19/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,8/16/2025
201734,34,8/20/2017,8/26/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,8/23/2025
201735,35,8/27/2017,9/2/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,8/30/2025
201736,36,9/3/2017,9/9/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.06,9/6/2025
201737,37,9/10/2017,9/16/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.06,9/13/2025
201738,38,9/17/2017,9/23/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,9/20/2025
201739,39,9/24/2017,9/30/2017,2016-2017,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,9/27/2025
201740,40,10/1/2017,10/7/2017,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,10/5/2024
201741,41,10/8/2017,10/14/2017,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,10/12/2024
201742,42,10/15/2017,10/21/2017,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,10/19/2024
201743,43,10/22/2017,10/28/2017,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,10/26/2024
201744,44,10/29/2017,11/4/2017,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,11/2/2024
201745,45,11/5/2017,11/11/2017,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,11/9/2024
201746,46,11/12/2017,11/18/2017,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,11/16/2024
201747,47,11/19/2017,11/25/2017,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,11/23/2024
201748,48,11/26/2017,12/2/2017,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,11/30/2024
201749,49,12/3/2017,12/9/2017,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.11,12/7/2024
201750,50,12/10/2017,12/16/2017,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.12,12/14/2024
201751,51,12/17/2017,12/23/2017,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.14,12/21/2024
201752,52,12/24/2017,12/30/2017,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.18,12/28/2024
201801,1,12/31/2017,1/6/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.16,1/4/2025
201802,2,1/7/2018,1/13/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.16,1/11/2025
201803,3,1/14/2018,1/20/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.15,1/18/2025
201804,4,1/21/2018,1/27/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.17,1/25/2025
201805,5,1/28/2018,2/3/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.19,2/1/2025
201806,6,2/4/2018,2/10/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.17,2/8/2025
201807,7,2/11/2018,2/17/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.15,2/15/2025
201808,8,2/18/2018,2/24/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.13,2/22/2025
201809,9,2/25/2018,3/3/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.11,3/1/2025
201810,10,3/4/2018,3/10/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,3/8/2025
201811,11,3/11/2018,3/17/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,3/15/2025
201812,12,3/18/2018,3/24/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,3/22/2025
201813,13,3/25/2018,3/31/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,3/29/2025
201814,14,4/1/2018,4/7/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,4/5/2025
201815,15,4/8/2018,4/14/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,4/12/2025
201816,16,4/15/2018,4/21/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,4/19/2025
201817,17,4/22/2018,4/28/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.06,4/26/2025
201818,18,4/29/2018,5/5/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,5/3/2025
201819,19,5/6/2018,5/12/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,5/10/2025
201820,20,5/13/2018,5/19/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.06,5/17/2025
201821,21,5/20/2018,5/26/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,5/24/2025
201822,22,5/27/2018,6/2/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,5/31/2025
201823,23,6/3/2018,6/9/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.06,6/7/2025
201824,24,6/10/2018,6/16/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.06,6/14/2025
201825,25,6/17/2018,6/23/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,6/21/2025
201826,26,6/24/2018,6/30/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,6/28/2025
201827,27,7/1/2018,7/7/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,7/5/2025
201828,28,7/8/2018,7/14/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,7/12/2025
201829,29,7/15/2018,7/21/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.03,7/19/2025
201830,30,7/22/2018,7/28/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,7/26/2025
201831,31,7/29/2018,8/4/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.03,8/2/2025
201832,32,8/5/2018,8/11/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.03,8/9/2025
201833,33,8/12/2018,8/18/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,8/16/2025
201834,34,8/19/2018,8/25/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,8/23/2025
201835,35,8/26/2018,9/1/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,8/30/2025
201836,36,9/2/2018,9/8/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,9/6/2025
201837,37,9/9/2018,9/15/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.06,9/13/2025
201838,38,9/16/2018,9/22/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,9/20/2025
201839,39,9/23/2018,9/29/2018,2017-2018,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.04,9/27/2025
201840,40,9/30/2018,10/6/2018,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,10/5/2024
201841,41,10/7/2018,10/13/2018,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.05,10/12/2024
201842,42,10/14/2018,10/20/2018,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,10/19/2024
201843,43,10/21/2018,10/27/2018,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,10/26/2024
201844,44,10/28/2018,11/3/2018,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,11/2/2024
201845,45,11/4/2018,11/10/2018,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,11/9/2024
201846,46,11/11/2018,11/17/2018,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,11/16/2024
201847,47,11/18/2018,11/24/2018,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,11/23/2024
201848,48,11/25/2018,12/1/2018,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,11/30/2024
201849,49,12/2/2018,12/8/2018,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,12/7/2024
201850,50,12/9/2018,12/15/2018,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.11,12/14/2024
201851,51,12/16/2018,12/22/2018,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.11,12/21/2024
201852,52,12/23/2018,12/29/2018,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.12,12/28/2024
201901,1,12/30/2018,1/5/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.11,1/4/2025
201902,2,1/6/2019,1/12/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,1/11/2025
201903,3,1/13/2019,1/19/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.11,1/18/2025
201904,4,1/20/2019,1/26/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.11,1/25/2025
201905,5,1/27/2019,2/2/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,2/1/2025
201906,6,2/3/2019,2/9/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,2/8/2025
201907,7,2/10/2019,2/16/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,2/15/2025
201908,8,2/17/2019,2/23/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,2/22/2025
201909,9,2/24/2019,3/2/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,3/1/2025
201910,10,3/3/2019,3/9/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,3/8/2025
201911,11,3/10/2019,3/16/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,3/15/2025
201912,12,3/17/2019,3/23/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,3/22/2025
201913,13,3/24/2019,3/30/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,3/29/2025
201914,14,3/31/2019,4/6/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,4/5/2025
201915,15,4/7/2019,4/13/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.1,4/12/2025
201916,16,4/14/2019,4/20/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.09,4/19/2025
201917,17,4/21/2019,4/27/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,4/26/2025
201918,18,4/28/2019,5/4/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,5/3/2025
201919,19,5/5/2019,5/11/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.08,5/10/2025
201920,20,5/12/2019,5/18/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,5/17/2025
201921,21,5/19/2019,5/25/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,5/24/2025
201922,22,5/26/2019,6/1/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,5/31/2025
201923,23,6/2/2019,6/8/2019,2018-2019,ESSENCE,Influenza-like Illness,ILI,ED Visits,Age Group,00_04,0.07,6/7/2025
